SEID,LUID,Full Name,Name Type,IMO Number,Current Believed Flag,Previous Flags,Type,Tonnage,Length,Year Built,Current Owner/Operators,Previous Owner/Operators,Other Information,UK Statement of Reasons
#0047612,RUS2245,MULAN,Primary Name,9864837.0,Panama,,LNG Tanker,54836.0,,2024.0,,,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction.","MULAN (IMO 9864837 ) is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine. Namely, MULAN is involved in carrying a good from a place in Russia to a third country that could contribute to destabilising Ukraine or undermining or threatening the territorial integrity, sovereignty or independence of Ukraine."
#0047613,RUS2246,VELIKIY NOVGOROD,Primary Name,9630004.0,Barbados,,LNG Tanker,113876.0,,2014.0,,,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction.","VELIKIY NOVGOROD (IMO 9630004) is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine. Namely, VELIKIY NOVGOROD is involved in carrying a good from a place in Russia to a third country that could contribute to destabilising Ukraine or undermining or threatening the territorial integrity, sovereignty or independence of Ukraine."
#0047971,RUS2311,PORT OLYA-3,Primary Name,9481910.0,Russia,,General Cargo / Multi Purpose,,,2011.0,UNITED CARGO FLEET LTD,,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction.","PORT OLYA-3 (IMO 9481910) is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, PORT OLYA-3 is involved in carrying military goods from a third country to a place in Russia."
#0047981,RUS2321,MIKATI,Primary Name,9250892.0,Sierra Leone,Singapore; Vietnam,Oil Tanker,,,2003.0,VERT PROJECT LTD,,"Shipping sanctions: where shipping sanctions apply, a specified ship is prohibited from entering a port in the UK, may be given a movement or a port entry direction, can be detained, and will be refused permission to register on the UK Ship Register or have its existing registration terminated.","IMO 9250892 ('MIKATI') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, MIKATI is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0047983,RUS2322,NEOMI,Primary Name,9250543.0,Panama,,Oil Tanker,,,2004.0,Eastern Euro Ship Management; Trans See Inc,,"Shipping sanctions: where shipping sanctions apply, a specified ship is prohibited from entering a port in the UK, may be given a movement or a port entry direction, can be detained, and will be refused permission to register on the UK Ship Register or have its existing registration terminated.","IMO 9250543 ('NEOMI') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, NEOMI is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0047985,RUS2323,PYTHON,Primary Name,9250531.0,Cook Islands,,Oil Tanker,,,2004.0,Dream Islands Shipping LLC; Ocean Waters Maritime Corp,,"Shipping sanctions: where shipping sanctions apply, a specified ship is prohibited from entering a port in the UK, may be given a movement or a port entry direction, can be detained, and will be refused permission to register on the UK Ship Register or have its existing registration terminated.","IMO 9250531 ('PYTHON') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, PYTHON is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0047987,RUS2324,CHILLI,Primary Name,9249130.0,Antigua and Barbuda,,Oil Tanker,,,2004.0,CoastalCrest Shipping Ltd,,"Shipping sanctions: where shipping sanctions apply, a specified ship is prohibited from entering a port in the UK, may be given a movement or a port entry direction, can be detained, and will be refused permission to register on the UK Ship Register or have its existing registration terminated.","IMO 9249130 ('CHILLI') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, CHILLI is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0047988,RUS2325,KSENA,Primary Name,9232888.0,Panama,Cook Islands,Oil Tanker,,,2003.0,ALVIDO CHARTERING LTD; OST SHIPMANAGEMENT SRL,,"Shipping sanctions: where shipping sanctions apply, a specified ship is prohibited from entering a port in the UK, may be given a movement or a port entry direction, can be detained, and will be refused permission to register on the UK Ship Register or have its existing registration terminated.","IMO 9232888 ('KSENA') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, KSENA is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0047990,RUS2326,GURU,Primary Name,9353096.0,Gabon,,Chemical Carrier,,,,FU MAN SHIPPING LTD,,"Shipping sanctions: where shipping sanctions apply, a specified ship is prohibited from entering a port in the UK, may be given a movement or a port entry direction, can be detained, and will be refused permission to register on the UK Ship Register or have its existing registration terminated.","GURU (IMO 9353096) is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, GURU is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0047991,RUS2327,ARIADNE,Primary Name,9289752.0,Gabon,,Oil Tanker,,,2005.0,ARAR MARITIME INC,,"Shipping sanctions: where shipping sanctions apply, a specified ship is prohibited from entering a port in the UK, may be given a movement or a port entry direction, can be detained, and will be refused permission to register on the UK Ship Register or have its existing registration terminated.","ARIADNE (IMO 9289752) is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, ARIADNE is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
