SEID,LUID,Full Name,Name Type,IMO Number,Current Believed Flag,Previous Flags,Type,Tonnage,Length,Year Built,Current Owner/Operators,Previous Owner/Operators,Other Information,UK Statement of Reasons
#0019773,DPR0075,Petrel 8,Primary Name,9562233.0,Comoros,India,Bulk Carrier,7078.0,134.5,2011.0,Global United Shipping India,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019774,DPR0075,Jal Vahini; Jal_Vahini,Alias,9562233.0,Comoros,India,Bulk Carrier,7078.0,134.5,2011.0,Global United Shipping India,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019776,DPR0075,Tian Tai 36,Alias,9562233.0,Comoros,India,Bulk Carrier,7078.0,134.5,2011.0,Global United Shipping India,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019777,DPR0076,Hao Fan 6,Primary Name,8628597.0,St Kitts and Nevis,China; Kiribati,Bulk Carrier,8343.0,140.0,2009.0,Shen Zhong International Shipping,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017). Listed as asset of Shen Zhong International Shipping - OFSI ID: 13644. UN Reference Number: UN Ref KPe.073.,
#0019779,DPR0077,Tong San 2,Primary Name,8937675.0,North Korea,South Korea,General Cargo / Multi Purpose,4967.0,108.45,1996.0,Shipping Imperial,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019780,DPR0077,Chil Sung,Alias,8937675.0,North Korea,South Korea,General Cargo / Multi Purpose,4967.0,108.45,1996.0,Shipping Imperial,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019781,DPR0077,Genesis Wave; Twgenesis Wave,Alias,8937675.0,North Korea,South Korea,General Cargo / Multi Purpose,4967.0,108.45,1996.0,Shipping Imperial,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019782,DPR0077,Haedong Carrier No.9,Alias,8937675.0,North Korea,South Korea,General Cargo / Multi Purpose,4967.0,108.45,1996.0,Shipping Imperial,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019784,DPR0078,Jie Shun,Primary Name,8518780.0,Cambodia,,General Cargo / Multi Purpose,2825.0,97.36,1986.0,Liaoning Foreign Trade,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019785,DPR0078,Armon,Alias,8518780.0,Cambodia,,General Cargo / Multi Purpose,2825.0,97.36,1986.0,Liaoning Foreign Trade,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019786,DPR0078,Northern Queen,Alias,8518780.0,Cambodia,,General Cargo / Multi Purpose,2825.0,97.36,1986.0,Liaoning Foreign Trade,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019787,DPR0078,Velox,Alias,8518780.0,Cambodia,,General Cargo / Multi Purpose,2825.0,97.36,1986.0,Liaoning Foreign Trade,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019788,DPR0092,Billions No.18,Primary Name,9191773.0,Palau,Panama,Chemical Carrier,5827.0,115.44,1998.0,Raffles Technical Services,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019789,DPR0092,Billions No.18,Primary Name,9191773.0,Palau,Panama,Oil Tanker,5827.0,115.44,1998.0,Raffles Technical Services,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019790,DPR0092,Golden Yuki,Alias,9191773.0,Palau,Panama,Oil Tanker,5827.0,115.44,1998.0,Raffles Technical Services,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019791,DPR0092,Golden Yuki,Alias,9191773.0,Palau,Panama,Chemical Carrier,5827.0,115.44,1998.0,Raffles Technical Services,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019792,DPR0093,Ul Ji Bong 6,Primary Name,9114555.0,North Korea,Panama; South Korea,General Cargo / Multi Purpose,3782.0,96.62,1995.0,Da Flying Navigation,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019794,DPR0093,Izumo,Alias,9114555.0,North Korea,South Korea; Panama,General Cargo / Multi Purpose,3782.0,96.62,1995.0,Da Flying Navigation,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019796,DPR0093,Mv.Pan Hope; Mv.Pan Hopebb,Alias,9114555.0,North Korea,Panama; South Korea,General Cargo / Multi Purpose,3782.0,96.62,1995.0,Da Flying Navigation,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019800,DPR0093,Pan Hope; Pan Hopeb,Alias,9114555.0,North Korea,Panama; South Korea,General Cargo / Multi Purpose,3782.0,96.62,1995.0,Da Flying Navigation,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019804,DPR0093,Pan Hopech; Pan Hopecl,Alias,9114555.0,North Korea,Panama; South Korea,General Cargo / Multi Purpose,3782.0,96.62,1995.0,Da Flying Navigation,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019808,DPR0093,Sheng Hong; Sheng Hongay; Sheng Hongb; Sheng Hongbb; Sheng Hongch; Sheng Hongcl,Alias,9114555.0,North Korea,Panama; South Korea,General Cargo / Multi Purpose,3782.0,96.62,1995.0,Da Flying Navigation,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019820,DPR0093,Sheng_Hong,Alias,9114555.0,North Korea,Panama; South Korea,General Cargo / Multi Purpose,3782.0,96.62,1995.0,Da Flying Navigation,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019822,DPR0094,Rung Ra 2,Primary Name,9020534.0,North Korea,Panama,General Cargo / Multi Purpose,3524.0,102.43,1991.0,Ningyang International Shipmanagement,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019824,DPR0094,Deer Lake,Alias,9020534.0,North Korea,Japan,General Cargo / Multi Purpose,3524.0,102.43,1991.0,Ningyang International Shipmanagement,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019826,DPR0094,Hokusho Maru,Alias,9020534.0,North Korea,Panama,General Cargo / Multi Purpose,3524.0,102.43,1991.0,Ningyang International Shipmanagement,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019828,DPR0094,Paek Yang San,Alias,9020534.0,North Korea,Japan,General Cargo / Multi Purpose,3524.0,102.43,1991.0,Ningyang International Shipmanagement,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019830,DPR0094,Pearl 8,Alias,9020534.0,North Korea,Panama,General Cargo / Multi Purpose,3524.0,102.43,1991.0,Ningyang International Shipmanagement,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019832,DPR0094,Rungra2,Alias,9020534.0,North Korea,Japan,General Cargo / Multi Purpose,3524.0,102.43,1991.0,Ningyang International Shipmanagement,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019834,DPR0095,Rye Song Gang 1,Primary Name,7389704.0,North Korea,Russia,Oil Tanker,1757.0,85.0,1974.0,,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019835,DPR0095,Degtyarsk,Alias,7389704.0,North Korea,Russia,Oil Tanker,1757.0,85.0,1974.0,,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019836,DPR0095,Medstar,Alias,7389704.0,North Korea,Russia,Oil Tanker,1757.0,85.0,1974.0,,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019837,DPR0095,Pointe de Penharn,Alias,7389704.0,North Korea,Russia,Oil Tanker,1757.0,85.0,1974.0,,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019838,DPR0095,Pointe du Van,Alias,7389704.0,North Korea,Russia,Oil Tanker,1757.0,85.0,1974.0,,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019839,DPR0095,RyeSongGang1; RyeSongGang-1,Alias,7389704.0,North Korea,Russia,Oil Tanker,1757.0,85.0,1974.0,,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019841,DPR0096,Chon Myong 1,Primary Name,8712362.0,North Korea,Togo,Oil Tanker,1220.0,82.0,1987.0,Chonmyong Shipping Co,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK oil tanker M/V CHON MYONG 1 conducted a ship-to-ship transfer, likely for oil, in late December 2017. Listed as asset of Chonmyong Shipping Co (OFSI ID: 13627, UN Ref KPe.056)",
#0019842,DPR0096,Chie Maru No.6,Alias,8712362.0,North Korea,Togo,Oil Tanker,1220.0,82.0,1987.0,Chonmyong Shipping Co,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK oil tanker M/V CHON MYONG 1 conducted a ship-to-ship transfer, likely for oil, in late December 2017. Listed as asset of Chonmyong Shipping Co (OFSI ID: 13627, UN Ref KPe.056)",
#0019843,DPR0096,Eastern Luck,Alias,8712362.0,North Korea,Togo,Oil Tanker,1220.0,82.0,1987.0,Chonmyong Shipping Co,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK oil tanker M/V CHON MYONG 1 conducted a ship-to-ship transfer, likely for oil, in late December 2017. Listed as asset of Chonmyong Shipping Co (OFSI ID: 13627, UN Ref KPe.056)",
#0019844,DPR0096,Ju Jak Bong 5,Alias,8712362.0,North Korea,Togo,Oil Tanker,1220.0,82.0,1987.0,Chonmyong Shipping Co,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK oil tanker M/V CHON MYONG 1 conducted a ship-to-ship transfer, likely for oil, in late December 2017. Listed as asset of Chonmyong Shipping Co (OFSI ID: 13627, UN Ref KPe.056)",
#0019845,DPR0096,Jujakbong5,Alias,8712362.0,North Korea,Togo,Oil Tanker,1220.0,82.0,1987.0,Chonmyong Shipping Co,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK oil tanker M/V CHON MYONG 1 conducted a ship-to-ship transfer, likely for oil, in late December 2017. Listed as asset of Chonmyong Shipping Co (OFSI ID: 13627, UN Ref KPe.056)",
#0019846,DPR0096,Jujakbonh-5,Alias,8712362.0,North Korea,Togo,Oil Tanker,1220.0,82.0,1987.0,Chonmyong Shipping Co,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK oil tanker M/V CHON MYONG 1 conducted a ship-to-ship transfer, likely for oil, in late December 2017. Listed as asset of Chonmyong Shipping Co (OFSI ID: 13627, UN Ref KPe.056)",
#0019847,DPR0096,M/V Chon Myong 1,Alias,8712362.0,North Korea,Togo,Oil Tanker,1220.0,82.0,1987.0,Chonmyong Shipping Co,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK oil tanker M/V CHON MYONG 1 conducted a ship-to-ship transfer, likely for oil, in late December 2017. Listed as asset of Chonmyong Shipping Co (OFSI ID: 13627, UN Ref KPe.056)",
#0019848,DPR0096,Zu Zag Bong 5,Alias,8712362.0,North Korea,Togo,Oil Tanker,1220.0,82.0,1987.0,Chonmyong Shipping Co,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK oil tanker M/V CHON MYONG 1 conducted a ship-to-ship transfer, likely for oil, in late December 2017. Listed as asset of Chonmyong Shipping Co (OFSI ID: 13627, UN Ref KPe.056)",
#0019849,DPR0096,Zuzagbong-5,Alias,8712362.0,North Korea,Togo,Oil Tanker,1220.0,82.0,1987.0,Chonmyong Shipping Co,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK oil tanker M/V CHON MYONG 1 conducted a ship-to-ship transfer, likely for oil, in late December 2017. Listed as asset of Chonmyong Shipping Co (OFSI ID: 13627, UN Ref KPe.056)",
#0019850,DPR0097,An San 1,Primary Name,7303803.0,North Korea,Russia,Chemical Carrier,1757.0,86.0,1973.0,Korean Ansan Shipping,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK tanker M/V AN SAN 1 was involved in ship-to-ship transfer operations, likely for oil, in late January 2018. Listed as asset of Korea Ansan Shipping Company (OFSI ID: 13633, UN Reference Number: UN Ref KPe.062)",
#0019851,DPR0097,Alchimist Marathon,Alias,7303803.0,North Korea,Russia,Chemical Carrier,1757.0,86.0,1973.0,Korean Ansan Shipping,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK tanker M/V AN SAN 1 was involved in ship-to-ship transfer operations, likely for oil, in late January 2018. Listed as asset of Korea Ansan Shipping Company (OFSI ID: 13633, UN Reference Number: UN Ref KPe.062)",
#0019852,DPR0097,Alchimist Rotterdam,Alias,7303803.0,North Korea,Russia,Chemical Carrier,1757.0,86.0,1973.0,Korean Ansan Shipping,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK tanker M/V AN SAN 1 was involved in ship-to-ship transfer operations, likely for oil, in late January 2018. Listed as asset of Korea Ansan Shipping Company (OFSI ID: 13633, UN Reference Number: UN Ref KPe.062)",
#0019853,DPR0097,Ansan-1,Alias,7303803.0,North Korea,Russia,Chemical Carrier,1757.0,86.0,1973.0,Korean Ansan Shipping,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK tanker M/V AN SAN 1 was involved in ship-to-ship transfer operations, likely for oil, in late January 2018. Listed as asset of Korea Ansan Shipping Company (OFSI ID: 13633, UN Reference Number: UN Ref KPe.062)",
#0019854,DPR0097,Beste S,Alias,7303803.0,North Korea,Russia,Chemical Carrier,1757.0,86.0,1973.0,Korean Ansan Shipping,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK tanker M/V AN SAN 1 was involved in ship-to-ship transfer operations, likely for oil, in late January 2018. Listed as asset of Korea Ansan Shipping Company (OFSI ID: 13633, UN Reference Number: UN Ref KPe.062)",
#0019855,DPR0097,Chimiste Nantes,Alias,7303803.0,North Korea,Russia,Chemical Carrier,1757.0,86.0,1973.0,Korean Ansan Shipping,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK tanker M/V AN SAN 1 was involved in ship-to-ship transfer operations, likely for oil, in late January 2018. Listed as asset of Korea Ansan Shipping Company (OFSI ID: 13633, UN Reference Number: UN Ref KPe.062)",
#0019856,DPR0097,Efes,Alias,7303803.0,North Korea,Russia,Chemical Carrier,1757.0,86.0,1973.0,Korean Ansan Shipping,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK tanker M/V AN SAN 1 was involved in ship-to-ship transfer operations, likely for oil, in late January 2018. Listed as asset of Korea Ansan Shipping Company (OFSI ID: 13633, UN Reference Number: UN Ref KPe.062)",
#0019857,DPR0097,Ermak,Alias,7303803.0,North Korea,Russia,Chemical Carrier,1757.0,86.0,1973.0,Korean Ansan Shipping,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK tanker M/V AN SAN 1 was involved in ship-to-ship transfer operations, likely for oil, in late January 2018. Listed as asset of Korea Ansan Shipping Company (OFSI ID: 13633, UN Reference Number: UN Ref KPe.062)",
#0019858,DPR0097,Tiger Cub,Alias,7303803.0,North Korea,Russia,Chemical Carrier,1757.0,86.0,1973.0,Korean Ansan Shipping,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK tanker M/V AN SAN 1 was involved in ship-to-ship transfer operations, likely for oil, in late January 2018. Listed as asset of Korea Ansan Shipping Company (OFSI ID: 13633, UN Reference Number: UN Ref KPe.062)",
#0019859,DPR0098,Yu Phyong 5,Primary Name,8605026.0,North Korea,South Korea,Oil Tanker,795.0,75.0,1986.0,Korea Myongdok Shipping Co,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). In late November 2017 the YU PHYONG 5 conducted a ship-to-ship transfer of 1,721 metric tons of fuel oil. Listed as asset of Korea Myongdok Shipping Co - OFSI ID: 13634. UN Reference Number: UN Ref KPe.063",
#0019860,DPR0098,Bokwang No.5; Bokwang No.5BL,Alias,8605026.0,North Korea,South Korea,Oil Tanker,795.0,75.0,1986.0,Korea Myongdok Shipping Co,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). In late November 2017 the YU PHYONG 5 conducted a ship-to-ship transfer of 1,721 metric tons of fuel oil. Listed as asset of Korea Myongdok Shipping Co - OFSI ID: 13634. UN Reference Number: UN Ref KPe.063",
#0019862,DPR0098,Bokwang_No5,Alias,8605026.0,North Korea,South Korea,Oil Tanker,795.0,75.0,1986.0,Korea Myongdok Shipping Co,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). In late November 2017 the YU PHYONG 5 conducted a ship-to-ship transfer of 1,721 metric tons of fuel oil. Listed as asset of Korea Myongdok Shipping Co - OFSI ID: 13634. UN Reference Number: UN Ref KPe.063",
#0019863,DPR0098,Cheng Jin; Cheong Jin,Alias,8605026.0,North Korea,South Korea,Oil Tanker,795.0,75.0,1986.0,Korea Myongdok Shipping Co,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). In late November 2017 the YU PHYONG 5 conducted a ship-to-ship transfer of 1,721 metric tons of fuel oil. Listed as asset of Korea Myongdok Shipping Co - OFSI ID: 13634. UN Reference Number: UN Ref KPe.063",
#0019865,DPR0098,Ryosho Maru,Alias,8605026.0,North Korea,South Korea,Oil Tanker,795.0,75.0,1986.0,Korea Myongdok Shipping Co,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). In late November 2017 the YU PHYONG 5 conducted a ship-to-ship transfer of 1,721 metric tons of fuel oil. Listed as asset of Korea Myongdok Shipping Co - OFSI ID: 13634. UN Reference Number: UN Ref KPe.063",
#0019866,DPR0098,Samwoo,Alias,8605026.0,North Korea,South Korea,Oil Tanker,795.0,75.0,1986.0,Korea Myongdok Shipping Co,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). In late November 2017 the YU PHYONG 5 conducted a ship-to-ship transfer of 1,721 metric tons of fuel oil. Listed as asset of Korea Myongdok Shipping Co - OFSI ID: 13634. UN Reference Number: UN Ref KPe.063",
#0019867,DPR0098,Vladivostok No.5,Alias,8605026.0,North Korea,South Korea,Oil Tanker,795.0,75.0,1986.0,Korea Myongdok Shipping Co,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). In late November 2017 the YU PHYONG 5 conducted a ship-to-ship transfer of 1,721 metric tons of fuel oil. Listed as asset of Korea Myongdok Shipping Co - OFSI ID: 13634. UN Reference Number: UN Ref KPe.063",
#0019868,DPR0099,Sam Jong 1,Primary Name,8405311.0,North Korea,,Oil Tanker,1038.0,70.0,1984.0,Korea Samjong Shipping,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK merchant vessel M/V SAM JONG 1 was involved in ship-to-ship transfer operations of oil in late January 2018. Listed as asset of Korea Samjong Shipping (OFSI ID: 13635, UN Reference Number: UN Ref KPe.064)",
#0019869,DPR0099,Dae Hung 6,Alias,8405311.0,North Korea,,Oil Tanker,1038.0,70.0,1984.0,Korea Samjong Shipping,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK merchant vessel M/V SAM JONG 1 was involved in ship-to-ship transfer operations of oil in late January 2018. Listed as asset of Korea Samjong Shipping (OFSI ID: 13635, UN Reference Number: UN Ref KPe.064)",
#0019870,DPR0099,Tesshin Maru,Alias,8405311.0,North Korea,,Oil Tanker,1038.0,70.0,1984.0,Korea Samjong Shipping,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK merchant vessel M/V SAM JONG 1 was involved in ship-to-ship transfer operations of oil in late January 2018. Listed as asset of Korea Samjong Shipping (OFSI ID: 13635, UN Reference Number: UN Ref KPe.064)",
#0019871,DPR0099,Yu_Jong_1,Alias,8405311.0,North Korea,,Oil Tanker,1038.0,70.0,1984.0,Korea Samjong Shipping,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK merchant vessel M/V SAM JONG 1 was involved in ship-to-ship transfer operations of oil in late January 2018. Listed as asset of Korea Samjong Shipping (OFSI ID: 13635, UN Reference Number: UN Ref KPe.064)",
#0019872,DPR0099,Yujong1,Alias,8405311.0,North Korea,,Oil Tanker,1038.0,70.0,1984.0,Korea Samjong Shipping,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK merchant vessel M/V SAM JONG 1 was involved in ship-to-ship transfer operations of oil in late January 2018. Listed as asset of Korea Samjong Shipping (OFSI ID: 13635, UN Reference Number: UN Ref KPe.064)",
#0019873,DPR0100,Sam Jong 2,Primary Name,7408873.0,North Korea,Russia,Oil Tanker,1676.0,80.0,1975.0,Korea Samjong Shipping,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK merchant vessel M/V SAM JONG 2 was involved in ship-to-ship transfer operations of oil in late January 2018. Listed as asset of Korea Samjong Shipping (OFSI ID: 13635, UN Reference Number: UN Ref KPe.064)",
#0019874,DPR0100,Aktiva,Alias,7408873.0,North Korea,Russia,Oil Tanker,1676.0,80.0,1975.0,Korea Samjong Shipping,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK merchant vessel M/V SAM JONG 2 was involved in ship-to-ship transfer operations of oil in late January 2018. Listed as asset of Korea Samjong Shipping (OFSI ID: 13635, UN Reference Number: UN Ref KPe.064)",
#0019875,DPR0100,Bima,Alias,7408873.0,North Korea,Russia,Oil Tanker,1676.0,80.0,1975.0,Korea Samjong Shipping,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK merchant vessel M/V SAM JONG 2 was involved in ship-to-ship transfer operations of oil in late January 2018. Listed as asset of Korea Samjong Shipping (OFSI ID: 13635, UN Reference Number: UN Ref KPe.064)",
#0019876,DPR0100,Ochre Point,Alias,7408873.0,North Korea,Russia,Oil Tanker,1676.0,80.0,1975.0,Korea Samjong Shipping,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK merchant vessel M/V SAM JONG 2 was involved in ship-to-ship transfer operations of oil in late January 2018. Listed as asset of Korea Samjong Shipping (OFSI ID: 13635, UN Reference Number: UN Ref KPe.064)",
#0019877,DPR0100,Petrochem Valour,Alias,7408873.0,North Korea,Russia,Oil Tanker,1676.0,80.0,1975.0,Korea Samjong Shipping,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK merchant vessel M/V SAM JONG 2 was involved in ship-to-ship transfer operations of oil in late January 2018. Listed as asset of Korea Samjong Shipping (OFSI ID: 13635, UN Reference Number: UN Ref KPe.064)",
#0019878,DPR0100,Rainbow Chaser,Alias,7408873.0,North Korea,Russia,Oil Tanker,1676.0,80.0,1975.0,Korea Samjong Shipping,,"Pursuant to paragraph 6 of Security Council Resolution 2371 (2017), paragraph 6 of Security Council Resolution 2375 (2017)and paragraph 12 of Security Council resolution 2321 (2016). DPRK merchant vessel M/V SAM JONG 2 was involved in ship-to-ship transfer operations of oil in late January 2018. Listed as asset of Korea Samjong Shipping (OFSI ID: 13635, UN Reference Number: UN Ref KPe.064)",
